$KSXT,20200428055658.20,108.92209761,34.19342570,439.3142,7.27,0.05,99.88,0.013,0.00,3,3,20,18,-1.457,-2.373,-0.003,0.013,-0.002,-0.017,,,*22
$KSXT,20200428055658.30,108.92209759,34.19342570,439.3193,7.36,-0.07,211.61,0.004,0.00,3,3,20,18,-1.459,-2.373,0.002,-0.002,-0.004,-0.009,,,*3E
$KSXT,20200428055658.40,108.92209760,34.19342569,439.3164,7.24,-0.07,126.12,0.012,0.00,3,3,20,18,-1.458,-2.374,-0.001,0.009,-0.007,0.005,,,*18
$KSXT,20200428055658.50,108.92209759,34.19342570,439.3161,7.29,0.15,178.47,0.006,0.00,3,3,20,18,-1.459,-2.373,-0.001,0.000,-0.006,0.000,,,*38
$KSXT,20200428055658.60,108.92209761,34.19342567,439.3141,7.22,-0.02,125.78,0.017,0.00,3,3,20,18,-1.457,-2.376,-0.003,0.014,-0.010,0.004,,,*1F
$KSXT,20200428055658.70,108.92209762,34.19342568,439.3132,7.27,0.08,115.79,0.017,0.00,3,3,20,18,-1.457,-2.375,-0.004,0.016,-0.008,-0.009,,,*19
$KSXT,20200428055658.80,108.92209759,34.19342568,439.3154,7.41,-0.08,287.43,0.005,0.00,3,3,20,18,-1.460,-2.375,-0.002,-0.005,0.001,0.003,,,*1F
$KSXT,20200428055658.90,108.92209759,34.19342568,439.3167,7.34,0.05,245.03,0.007,0.00,3,3,20,18,-1.459,-2.375,-0.000,-0.006,-0.003,0.016,,,*14
$KSXT,20200428055659.00,108.92209759,34.19342570,439.3177,7.36,0.04,325.03,0.010,0.00,3,3,20,18,-1.459,-2.373,0.001,-0.006,0.008,0.012,,,*1E
$KSXT,20200428055659.10,108.92209760,34.19342568,439.3202,7.30,-0.15,144.91,0.009,0.00,3,3,20,18,-1.459,-2.375,0.003,0.005,-0.008,0.006,,,*32
$KSXT,20200428055659.20,108.92209760,34.19342569,439.3173,7.37,-0.10,110.44,0.004,0.00,3,3,20,18,-1.459,-2.374,0.000,0.004,-0.002,-0.012,,,*12
$KSXT,20200428055659.30,108.92209762,34.19342569,439.3169,7.29,-0.03,87.70,0.009,0.00,3,3,20,18,-1.457,-2.374,-0.000,0.009,0.000,0.009,,,*04
$KSXT,20200428055659.40,108.92209759,34.19342567,439.3177,7.34,-0.05,202.49,0.006,0.00,3,3,20,18,-1.459,-2.376,0.001,-0.002,-0.005,-0.008,,,*38
$KSXT,20200428055659.50,108.92209761,34.19342569,439.3176,7.24,-0.02,82.69,0.003,0.00,3,3,20,18,-1.457,-2.374,0.001,0.003,0.000,-0.007,,,*01
$KSXT,20200428055659.60,108.92209761,34.19342567,439.3125,7.32,0.17,219.72,0.005,0.00,3,3,20,18,-1.457,-2.377,-0.005,-0.003,-0.004,-0.011,,,*31
$KSXT,20200428055659.70,108.92209760,34.19342569,439.3184,7.33,-0.05,316.65,0.015,0.00,3,3,20,18,-1.458,-2.374,0.001,-0.010,0.011,0.014,,,*34
$KSXT,20200428055659.80,108.92209760,34.19342568,439.3197,7.30,-0.24,305.96,0.008,0.00,3,3,20,18,-1.458,-2.375,0.003,-0.007,0.005,0.015,,,*3B
$KSXT,20200428055659.90,108.92209760,34.19342569,439.3181,7.36,-0.04,313.33,0.015,0.00,3,3,20,18,-1.459,-2.374,0.001,-0.011,0.010,0.023,,,*38
$KSXT,20200428055700.00,108.92209759,34.19342567,439.3201,7.28,0.06,305.46,0.008,0.00,3,3,20,18,-1.459,-2.376,0.003,-0.006,0.005,0.021,,,*1A
$KSXT,20200428055700.10,108.92209761,34.19342568,439.3184,7.27,-0.11,321.09,0.009,0.00,3,3,20,18,-1.457,-2.375,0.001,-0.005,0.007,0.033,,,*34
$KSXT,20200428055700.20,108.92209759,34.19342568,439.3226,7.31,-0.08,297.50,0.011,0.00,3,3,20,18,-1.459,-2.375,0.006,-0.010,0.005,0.029,,,*35
$KSXT,20200428055700.30,108.92209759,34.19342569,439.3234,7.31,-0.16,305.60,0.021,0.00,3,3,20,18,-1.459,-2.374,0.006,-0.017,0.012,0.033,,,*38
